catalogNumber,FAMILY,GENUS,SPECIES,SUBSPECIES,aisle,shelving_unit,shelf
ZMH-ANN-P13519,MAGELONIDAE,Magelona,alleni,,1,1,1
ZMH-ANN-P22071,MAGELONIDAE,Magelona,alleni,,1,1,1
ZMH-ANN-P15007,MAGELONIDAE,Magelona,annulata,,1,1,1
ZMH-ANN-P20217,MAGELONIDAE,Magelona,annulata,,1,1,1
ZMH-ANN-P20218,MAGELONIDAE,Magelona,annulata,,1,1,1
ZMH-ANN-030836,MAGELONIDAE,Magelona,annulata,,1,1,1
ZMH-ANN-P15008,MAGELONIDAE,Magelona,capensis,,1,1,1
ZMH-ANN-P15009,MAGELONIDAE,Magelona,cincta,,1,1,1
ZMH-ANN-P15416,MAGELONIDAE,Magelona,dakini,,1,1,1
ZMH-ANN-P19217,MAGELONIDAE,Magelona,dakini,,1,1,1
ZMH-ANN-P20406,MAGELONIDAE,Magelona,dakini,,1,1,1
ZMH-ANN-P20407,MAGELONIDAE,Magelona,dakini,,1,1,1
ZMH-ANN-P20408,MAGELONIDAE,Magelona,dakini,,1,1,1
ZMH-ANN-P22036,MAGELONIDAE,Magelona,filiformis,,1,1,1
ZMH-ANN-P22037,MAGELONIDAE,Magelona,filiformis,,1,1,1
ZMH-ANN-P15415,MAGELONIDAE,Magelona,hartmanae,,1,1,1
ZMH-ANN-P15417,MAGELONIDAE,Magelona,hobsonae,,1,1,1
ZMH-ANN-P16379,MAGELONIDAE,Magelona,jonesi,,1,1,1
ZMH-ANN-P16380,MAGELONIDAE,Magelona,jonesi,,1,1,1
ZMH-ANN-PE0897,MAGELONIDAE,Magelona,papillicornis,,1,1,1
ZMH-ANN-V09191,MAGELONIDAE,Magelona,papillicornis,,1,1,1
ZMH-ANN-P13043,MAGELONIDAE,Magelona,papillicornis,,1,1,1
ZMH-ANN-P13052,MAGELONIDAE,Magelona,papillicornis,,1,1,1
ZMH-ANN-P13652,MAGELONIDAE,Magelona,papillicornis,,1,1,1
ZMH-ANN-P15010,MAGELONIDAE,Magelona,papillicornis,,1,1,1
ZMH-ANN-P15414,MAGELONIDAE,Magelona,pitelkai,,1,1,1
ZMH-ANN-V01575,MAGELONIDAE,Magelona,,,1,1,1
ZMH-ANN-V01578,MAGELONIDAE,Magelona,,,1,1,1
ZMH-ANN-030451,MAGELONIDAE,Octomagelona,borowskii,,1,1,1
ZMH-ANN-030452,MAGELONIDAE,Octomagelona,borowskii,,1,1,1
ZMH-ANN-V12824,MAGELONIDAE,,,,1,1,1
ZMH-ANN-P25838,MAGELONIDAE,,,,1,1,1
ZMH-ANN-P26097,MAGELONIDAE,,,,1,1,1
ZMH-ANN-P28457,MAGELONIDAE,,,,1,1,1
ZMH-ANN-P20662,Oweniidae,Galathowenia,fragilis,,1,1,1
ZMH-ANN-P25934,Oweniidae,Galathowenia,kirkegaardi,,1,1,1
ZMH-ANN-P18963,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19054,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19574,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19575,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19576,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19807,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19808,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19809,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P19810,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21340,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21341,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21342,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21343,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21344,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21345,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21346,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21347,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21348,Oweniidae,Galathowenia,scotiae,,1,1,1
ZMH-ANN-P21349,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P21350,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P21351,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P23679,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P23680,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24041,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24042,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24043,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24044,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24045,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24046,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24047,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24048,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24049,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24050,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24630,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24850,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P24851,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P25712,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P25712-A,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P25712-B,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-P25712-C,Oweniidae,Galathowenia,scotiae,,1,1,2
ZMH-ANN-V04362,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-V11867,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P13456,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P17436,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P17684,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P25714,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P26182,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P26279,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P26293,Oweniidae,Myriochele,heeri,,1,1,2
ZMH-ANN-P26305,Oweniidae,Myriochele,heeri,,1,1,2
